2024-07-26T16:15:46.585+0800	ERROR	myselfgo/main.go:103	msg=Getting server time failed||err=||ApiKey=RztNX12tH5UrgI7zVWG1m20BuPJ16YRAVhHvCl6SMfHeaLssNm6dWb48WJHWOvu5||timestamp=%!d(string=Get "https://fapi.binance.com/fapi/v1/time": EOF)
2024-07-26T16:15:58.091+0800	ERROR	myselfgo/main.go:141	msg=createTableQuery error=near "kloss_number": syntax error
2024-07-26T16:16:07.644+0800	ERROR	wsclient/ws.go:78	msg=WsCombinedBookTickerServe get fail||symbol=FETUSDT||err=EOF
2024-07-26T16:16:07.644+0800	ERROR	wsclient/ws.go:78	msg=WsCombinedBookTickerServe get fail||symbol=BEAMXUSDT||err=EOF
2024-07-26T16:16:07.916+0800	ERROR	wsclient/ws.go:78	msg=WsCombinedBookTickerServe get fail||symbol=TURBOUSDT||err=EOF
2024-07-26T16:16:07.951+0800	ERROR	wsclient/ws.go:78	msg=WsCombinedBookTickerServe get fail||symbol=SUSHIUSDT||err=EOF
2024-07-26T16:16:08.233+0800	ERROR	wsclient/ws.go:78	msg=WsCombinedBookTickerServe get fail||symbol=1000RATSUSDT||err=EOF
2024-07-26T16:16:08.532+0800	ERROR	wsclient/ws.go:78	msg=WsCombinedBookTickerServe get fail||symbol=BTCUSDT||err=EOF
2024-07-26T16:16:08.556+0800	ERROR	wsclient/ws.go:78	msg=WsCombinedBookTickerServe get fail||symbol=STRKUSDT||err=EOF
2024-07-26T16:16:08.568+0800	ERROR	wsclient/ws.go:78	msg=WsCombinedBookTickerServe get fail||symbol=HOTUSDT||err=EOF
2024-07-26T16:16:13.955+0800	ERROR	wsclient/ws.go:78	msg=WsCombinedBookTickerServe get fail||symbol=SUSHIUSDT||err=EOF
2024-07-26T16:16:15.515+0800	ERROR	wsclient/ws.go:78	msg=WsCombinedBookTickerServe get fail||symbol=STRKUSDT||err=EOF
2024-07-26T16:16:21.869+0800	ERROR	wsclient/ws.go:78	msg=WsCombinedBookTickerServe get fail||symbol=1000RATSUSDT||err=EOF
2024-07-26T16:16:21.870+0800	ERROR	wsclient/ws.go:78	msg=WsCombinedBookTickerServe get fail||symbol=HOTUSDT||err=EOF
2024-07-26T16:16:21.881+0800	ERROR	wsclient/ws.go:78	msg=WsCombinedBookTickerServe get fail||symbol=SUSHIUSDT||err=EOF
2024-07-26T16:16:46.095+0800	ERROR	wsclient/ws.go:78	msg=WsCombinedBookTickerServe get fail||symbol=VANRYUSDT||err=context deadline exceeded
2024-07-26T16:16:52.495+0800	ERROR	wsclient/ws.go:78	msg=WsCombinedBookTickerServe get fail||symbol=VANRYUSDT||err=EOF
2024-07-26T16:17:12.960+0800	ERROR	wsclient/ws.go:107	订单状态更新出现异常，错误原因:websocket: close 1006 (abnormal closure): unexpected EOF
2024-07-26T16:17:42.157+0800	ERROR	wsclient/ws.go:70	msg=bookTicker update fail||err=websocket: close 1006 (abnormal closure): unexpected EOF
2024-07-26T16:19:17.985+0800	ERROR	wsclient/ws.go:70	msg=bookTicker update fail||err=websocket: close 1006 (abnormal closure): unexpected EOF
2024-07-26T16:21:33.986+0800	ERROR	wsclient/ws.go:70	msg=bookTicker update fail||err=websocket: close 1006 (abnormal closure): unexpected EOF
2024-07-26T16:26:47.467+0800	ERROR	wsclient/ws.go:70	msg=bookTicker update fail||err=websocket: close 1006 (abnormal closure): unexpected EOF
2024-07-26T16:47:28.402+0800	ERROR	wsclient/ws.go:210	msg=startWsKlineDataStream fail||err=EOF
2024-07-26T16:48:51.373+0800	ERROR	wsclient/ws.go:210	msg=startWsKlineDataStream fail||err=EOF
2024-07-26T16:48:56.472+0800	ERROR	wsclient/ws.go:210	msg=startWsKlineDataStream fail||err=EOF
2024-07-26T16:49:01.853+0800	ERROR	wsclient/ws.go:210	msg=startWsKlineDataStream fail||err=EOF
2024-07-26T16:49:06.947+0800	ERROR	wsclient/ws.go:210	msg=startWsKlineDataStream fail||err=EOF
2024-07-26T16:49:12.067+0800	ERROR	wsclient/ws.go:210	msg=startWsKlineDataStream fail||err=EOF
2024-07-26T16:49:17.410+0800	ERROR	wsclient/ws.go:210	msg=startWsKlineDataStream fail||err=EOF
2024-07-26T16:49:22.530+0800	ERROR	wsclient/ws.go:210	msg=startWsKlineDataStream fail||err=EOF
2024-07-26T16:49:27.637+0800	ERROR	wsclient/ws.go:210	msg=startWsKlineDataStream fail||err=EOF
2024-07-26T16:49:32.751+0800	ERROR	wsclient/ws.go:210	msg=startWsKlineDataStream fail||err=EOF
